,code,name,ss,trade
181,213,NATIONAL ELEC H  HKD   ,65750,69467
182,215,HUTCHTEL HK      HKD   ,3130000,12252580
183,216,CHINNEY INV      HKD   ,100000,125000
184,217,CHINA CHENGTONG  HKD   ,142000,39050
185,218,SHENYIN WANGUO   HKD   ,540000,1464400
186,220,U-PRESID CHINA   HKD   ,41914000,374062534
187,221,PNG RESOURCES    HKD   ,19440000,5241640
188,222,MIN XIN HOLD     HKD   ,1400000,6034880
189,223,SRGL             HKD   ,90000,9420
190,224,PIONEER GLOBAL   HKD   ,472000,534080
191,225,POKFULAM         HKD  ,80000,1008000
192,226,LIPPO            HKD   ,50000,187500
193,227,FIRST SHANGHAI   HKD   ,408000,292960
194,228,CHINA ENERGY     HKD   ,26000,3026
195,229,RAYMOND IND      HKD   ,208000,193440
196,230,MINMETALS LAND   HKD   ,1228000,1399780
197,231,MADEX INTL HOLD  HKD   ,36820000,4648680
198,232,AVIC INT'L       HKD   ,1222000,386350
199,233,MY MEDICARE      HKD   ,7900000,1195470
200,234,NEW CENTURY GP   HKD   ,540480,83603
201,235,CHINA STRATEGIC  HKD   ,235000,33765
202,236,SAN MIGUEL HK    HKD   ,46000,57280
203,237,SAFETY GODOWN    HKD  ,6000,69600
204,238,EVERGREEN INT    HKD   ,5173000,7678180
205,239,PAK FAH YEOW     HKD   ,82500,216575
206,240,BUILD KING HOLD  HKD   ,280000,44240
207,241,CITIC 21CN       HKD   ,274000,125480
208,242,SHUN TAK HOLD    HKD   ,5309502,22526480
209,243,QPL INT'L        HKD   ,2000,468
210,245,CHINA SEVENSTAR  HKD   ,28118200,2621296
211,250,SINO-I TECH      HKD   ,16980000,467810
212,251,SEA HOLDINGS     HKD   ,26000,134580
213,254,CH OUTDOORMEDIA  HKD   ,9025000,563125
214,255,LUNG KEE         HKD   ,942000,3051380
215,256,CHINA HAIDIAN    HKD   ,5870000,4692180
216,257,CHINA EB INT'L   HKD   ,19938280,114428525
217,260,CH ENV INV H     HKD   ,2790000,670750
218,262,DESON DEV INT'L  HKD   ,250000,154000
219,264,CHANCO INT'L     HKD   ,44000,14520
220,265,SOUTH CHINA H    HKD   ,280000,84000
221,267,CITIC PACIFIC    HKD  ,4870444,48805012
222,268,KINGDEE INT'L    HKD   ,4552000,5954840
223,269,CRTG             HKD   ,17700000,5222000
224,270,GUANGDONG INV    HKD   ,5261200,35785784
225,271,DAN FORM HOLD    HKD   ,595000,571540
226,272,SHUI ON LAND     HKD   ,6337350,21153309
227,273,WILLIE INT'L     HKD   ,5550000,4853200
228,275,HANNY HOLDINGS   HKD   ,535217,123966
229,276,MONGOLIA ENERGY  HKD   ,6915000,2212670
230,279,FREEMAN FIN      HKD   ,21320000,2384100
231,280,KING FOOK HOLD   HKD   ,202000,196240
232,281,RIVERA (HOLD)    HKD   ,764000,234340
233,285,BYD ELECTRONIC   HKD   ,1516000,3560132
234,286,G-PROP (HOLD)    HKD   ,5170300,3429489
235,289,WING ON CO       HKD  ,19000,482900
236,290,C FORTUNE FIN    HKD   ,2074000,186938
237,291,CHINA RESOURCES  HKD  ,4047435,93115452
238,292,ASIA STD HOTEL   HKD   ,320879,232206
239,293,CATHAY PAC AIR   HKD  ,5392316,71367289
240,294,YANGTZEKIANG     HKD   ,20000,57300
241,296,EMPEROR E HOTEL  HKD   ,225000,517550
242,297,SINOFERT         HKD   ,5326000,10606690
243,298,CHUANG'S CHINA   HKD   ,260000,127825
244,299,SINOCOM SOFT     HKD   ,364000,317780
245,300,KUNMING MACHINE  HKD   ,423596,989269
246,302,WING HANG BANK   HKD  ,253521,21118407
247,303,VTECH HOLDINGS   HKD  ,269044,25586654
248,305,WULING MOTORS    HKD   ,20000,9900
249,307,UP ENERGY DEV    HKD   ,19703520,11971791
250,308,CHINA TRAVEL HK  HKD   ,2216000,3413880
251,309,XH NEWS MEDIA    HKD   ,19000,3287
252,310,PROSP INV HOLD   HKD   ,730000,208050
253,311,LUEN THAI        HKD   ,16263000,34938070
