,code,name,ss,trade,vwap
248,305,WULING MOTORS    HKD   ,20000,9900,0.495
249,307,UP ENERGY DEV    HKD   ,19703520,11971791,0.60759656142658769
250,308,CHINA TRAVEL HK  HKD   ,2216000,3413880,1.5405595667870036
251,309,XH NEWS MEDIA    HKD   ,19000,3287,0.17299999999999999
252,310,PROSP INV HOLD   HKD   ,730000,208050,0.28499999999999998
253,311,LUEN THAI        HKD   ,16263000,34938070,2.1483164237840495
254,312,SHIRBLE STORE    HKD   ,1932000,774360,0.4008074534161491
255,315,SMARTONE TELE    HKD  ,822200,10406122,12.656436390172708
256,316,OOIL             HKD  ,458496,23465311,51.178878332635399
257,317,GUANGZHOU SHIP   HKD   ,318600,2134544,6.6997614563716255
258,319,CHINA METAL      HKD   ,20000,33560,1.6779999999999999
259,321,TEXWINCA HOLD    HKD   ,2082000,17034200,8.1816522574447639
260,322,TINGYI           HKD  ,5090000,103861906,20.405089587426325
261,323,MAANSHAN IRON    HKD   ,6084000,12553516,2.0633655489809337
262,326,CHINA STAR ENT   HKD   ,9095180,3597311,0.39551839545781392
263,327,PAX GLOBAL       HKD   ,1503000,2703870,1.7989820359281437
264,328,ALCO HOLDINGS    HKD   ,14000,22960,1.6399999999999999
265,329,DRAGONITE INT'L  HKD   ,1212000,797360,0.65788778877887788
266,330,ESPRIT HOLDINGS  HKD   ,4590164,43188543,9.4089324477295371
267,331,PCD STORES       HKD   ,12544000,14737580,1.1748708545918367
268,332,NGAI LIK IND     HKD   ,1044514,1137364,1.088893016273597
269,333,TOP FORM INT'L   HKD   ,22000,7830,0.3559090909090909
270,335,UPBEST GROUP     HKD   ,20000,20000,1.0
271,336,HUABAO INTL      HKD   ,17725000,60222290,3.3975904090267983
272,337,SPG LAND         HKD   ,1329000,3741510,2.8152821670428896
273,338,SHANGHAI PECHEM  HKD   ,27548000,95382906,3.4624258022360972
274,340,CHINA MINING     HKD   ,66086000,6010114,0.090943830765971609
275,341,CAFE DE CORAL H  HKD  ,562000,13040165,23.203140569395018
276,342,NEWOCEAN ENERGY  HKD   ,5045999,22894765,4.5372115610803725
277,343,CULTURECOM HOLD  HKD   ,338000,525400,1.5544378698224852
278,345,VITASOY INT'L    HKD   ,420000,3646450,8.6820238095238089
279,346,YANCHANG PETRO   HKD   ,14940000,7645100,0.51172021419009373
280,347,ANGANG STEEL     HKD   ,7596000,34312080,4.517124802527646
281,348,LUNG CHEONG      HKD   ,1294000,467660,0.36140649149922721
282,350,JINGWEI TEXTILE  HKD   ,1662000,9957500,5.9912755716004815
283,351,ASIA ENERGY LOG  HKD   ,3563000,296725,0.083279539713724385
284,353,ENERGY INTINV    HKD   ,1860000,46502,0.025001075268817206
285,354,CHINASOFT INT'L  HKD   ,1700000,2945200,1.7324705882352942
286,355,CENTURY C INT'L  HKD   ,3567317,2040274,0.57193515462741329
287,357,MEILAN AIRPORT   HKD   ,230000,1672720,7.2726956521739128
288,358,JIANGXI COPPER   HKD  ,7587926,130332457,17.176295208993867
289,359,HAISHENG JUICE   HKD   ,56000,26320,0.46999999999999997
290,360,NEW FOCUS AUTO   HKD   ,136000,94360,0.69382352941176473
291,362,C ZENITH CHEM    HKD   ,2645000,563775,0.21314744801512286
292,363,SHANGHAI IND H   HKD  ,2021806,49225037,24.347062477804499
293,364,HUAFENG GROUP    HKD   ,332000,69864,0.21043373493975903
294,366,LUKS GROUP (VN)  HKD   ,290000,648460,2.2360689655172412
295,367,CHUANG'S INT'L   HKD   ,556032,584113,1.0505024890653776
296,368,SINOTRANS SHIP   HKD   ,907000,1905770,2.1011797133406835
297,370,CHINA BEST       HKD   ,2960000,236920,0.080040540540540536
298,371,BJ ENT WATER     HKD   ,10473000,23932160,2.2851293803112767
299,372,ITC CORPORATION  HKD   ,4228000,2505480,0.59259224219489115
300,374,FOUR SEAS MER    HKD   ,36000,90600,2.5166666666666666
301,375,YGM TRADING      HKD  ,57000,1254450,22.007894736842104
302,376,REORIENT GROUP   HKD   ,10000,29900,2.9900000000000002
303,377,NEW ISLAND       HKD   ,2236000,3198680,1.430536672629696
304,378,CIAM GROUP       HKD   ,60000,56500,0.94166666666666665
305,379,PME              HKD   ,15010000,6495700,0.43275816122584942
306,380,CHINA PIPE       HKD   ,720000,23040,0.032000000000000001
307,382,WELLING HOLDING  HKD   ,2238000,3564000,1.5924932975871313
308,383,COL CAPITAL      HKD   ,244000,334240,1.3698360655737705
309,384,CHINA GAS HOLD   HKD   ,5360000,40682470,7.5900130597014925
310,385,CHINNEY ALLI     HKD   ,84000,36090,0.42964285714285716
311,386,SINOPEC CORP     HKD   ,164418912,1496050157,9.0990150634253073
312,388,HKEX             HKD ,2161902,288751892,133.56382111677587
313,389,TONTINE WINES    HKD   ,7348000,3908140,0.53186445291235707
314,390,CHINA RAILWAY    HKD   ,18519632,73047465,3.944325945569545
315,391,MEI AH ENTER     HKD   ,1300000,167400,0.12876923076923077
316,392,BEIJING ENT      HKD  ,2165600,131397372,60.674811599556705
317,393,GLORIOUS SUN     HKD   ,336000,757300,2.2538690476190477
318,395,SINO DRAGON      HKD   ,1072000,156776,0.14624626865671642
319,397,C GOGREEN ASSET  HKD   ,29260000,6026440,0.20596172248803829
320,398,ORIENTAL WATCH   HKD   ,2996000,7179736,2.3964405874499333
321,399,UNITED GENE GP   HKD   ,270200,122836,0.4546113989637306
322,402,MONGOLIA INV     HKD   ,6614400,1646251,0.24888893928398645
323,404,HSIN CHONG CONS  HKD   ,1358000,1595300,1.1747422680412372
324,405,YUEXIU REIT      HKD   ,6294363,27519582,4.372099607219984
325,406,YAU LEE HOLD     HKD   ,244000,417420,1.7107377049180328
326,408,YIP'S CHEMICAL   HKD   ,348000,2859360,8.2165517241379309
327,410,SOHO CHINA       HKD   ,5454000,35397007,6.4901002933626692
328,412,HERITAGE INT'L   HKD   ,3500022,1662009,0.47485672947198615
329,413,SOUTH CHINA CHI  HKD   ,16000,12480,0.78000000000000003
330,418,FOUNDER HOLD     HKD   ,678000,181690,0.26797935103244835
331,419,JIUHAO HEALTH    HKD   ,14629375,6122931,0.41853674541803731
332,420,FOUNTAIN SET     HKD   ,6194500,5677330,0.91651142142222941
333,422,VMEP HOLDINGS    HKD   ,34000,25940,0.76294117647058823
334,423,HKET HOLDINGS    HKD   ,20000,35200,1.76
335,425,MINTH GROUP      HKD  ,878000,9934060,11.314419134396354
336,430,ORIENTAL EXPL    HKD   ,1390000,131208,0.094394244604316543
337,432,PCPD             HKD   ,225000,649860,2.8882666666666665
338,433,NORTH MINING     HKD   ,46800000,19289600,0.41217094017094019
339,435,SUNLIGHT REIT    HKD   ,1094999,3695256,3.3746660955854755
340,438,IRICO            HKD   ,892000,312720,0.35058295964125563
341,440,DAH SING         HKD  ,44800,1854500,41.395089285714285
342,444,SINCEREWATCH HK  HKD   ,458000,905450,1.9769650655021833
343,445,CHINA FIRE       HKD   ,365000,55990,0.1533972602739726
344,449,CHIGO HOLDING    HKD   ,6858000,1355736,0.19768678915135607
345,450,HUNG HING PRINT  HKD   ,814000,1055000,1.296068796068796
346,451,SAME TIME HOLD   HKD   ,614000,4006040,6.5244951140065144
347,455,TIANDA PHARMA    HKD   ,372000,148810,0.40002688172043011
348,456,NEW CITY DEV     HKD   ,3366666,1107499,0.32896016415052753
349,458,TRISTATE HOLD    HKD   ,2000,7600,3.7999999999999998
350,459,MIDLAND IC&amp;I     HKD   ,5760000,274750,0.047699652777777775
351,460,SIHUAN PHARM     HKD   ,24845957,93903024,3.7794086176676553
352,467,UNITEDENERGY GP  HKD   ,2794000,3713420,1.3290694345025054
353,468,GAPACK           HKD   ,232000,1217930,5.2496982758620687
354,469,CAPXON INT'L     HKD   ,64000,10060,0.15718750000000001
355,471,CMMB VISION      HKD   ,9329000,4831480,0.51789902454711112
356,472,JLF INVESTMENT   HKD   ,30000,10900,0.36333333333333334
