,code,out_shares
626,869,1154322000
627,871,800000000
628,872,513848888
629,873,1000000000
630,874,219900000
631,875,1378927885
632,876,320525879
633,877,755549240
634,878,280824135
635,880,5547844293
636,881,1908481295
637,882,1067470125
638,883,44646305984
639,884,5770000000
640,885,683436884
641,886,1354749997
642,887,6882448129
643,888,997365332
644,889,320000000
645,891,1725924883
646,893,2075000000
647,894,479089534
648,895,35580000
649,897,2931142969
650,898,4180371092
651,899,3878745758
652,901,1631481513
653,902,3555383440
654,903,2345636139
655,904,884035540
656,905,2197866000
657,906,996000000
658,908,1118600000
659,912,272294000
660,913,194035201
661,914,1299600000
662,915,683069279
663,916,3340029000
664,917,8663219877
665,918,774656000
666,919,873996190
667,921,459589808
668,922,3120622600
669,925,4741088500
670,926,1569421820
671,927,410139000
672,928,114552446
673,929,931427790
674,931,8686267821
675,933,8766498266
676,934,2073660000
677,935,1109662000
678,938,1280190207
679,939,240417319880
680,940,1591390625
681,941,20100519530
682,945,1832825760
683,947,809438844
684,948,635573662
685,950,521404437
686,951,1005290000
687,953,1184610000
688,956,1362279000
689,958,2911586800
690,959,207632786
691,960,5431320000
692,963,312000000
693,966,1705875092
694,967,1290000000
695,969,2191180000
696,970,2979828850
697,973,1476964891
698,975,3705036500
699,976,1043506206
700,978,1068468860
701,980,372600000
702,981,32018975370
703,982,9200000000
704,983,492318421
705,984,260000000
706,985,27098308961
707,986,55394709
708,987,2356371843
709,988,2389222370
710,989,2820500000
711,991,3315677578
712,992,10434215059
713,993,2542691520
714,995,493010000
715,996,4396120965
716,997,1600000000
717,998,14882162977
718,999,1228183954
719,1001,413956251
720,1003,320759235
721,1005,755727313
722,1006,526250000
723,1008,732500000
724,1009,1179157235
725,1011,1081956500
726,1019,400000000
727,1020,1200000000
728,1021,1217617800
729,1023,1001532000
730,1025,536568000
731,1028,2000000000
732,1029,3494034301
733,1030,5668000000
734,1031,12114480666
735,1032,169833026
736,1033,1400000000
737,1036,259685288
738,1038,2495845400
739,1039,800000000
740,1041,1906073250
741,1043,374180000
742,1044,1229027721
743,1045,621807000
744,1048,170804269
745,1050,1996195200
746,1051,18921482950
747,1052,1673162295
748,1053,538127200
749,1055,2794917000
750,1057,86714000
751,1059,7510553810
752,1060,7742742564
753,1062,2902215360
754,1063,187951557
755,1064,151404130
756,1065,340000000
757,1066,1883732324
758,1068,1822755650
759,1069,370000000
760,1070,1323137233
761,1071,1431028000
762,1072,340000000
763,1073,993765216
764,1075,774498000
765,1076,400246274
766,1079,920984783
767,1082,576000000
768,1083,2610344830
769,1086,1000000000
770,1087,720000000
771,1088,3398582500
772,1090,1037500000
773,1091,3024795000
774,1093,2725421698
775,1096,1200000000
776,1097,2011512400
777,1098,741934566
778,1099,828340950
779,1101,7000000000
780,1102,3416046000
781,1103,456190000
782,1104,6811927990
783,1105,837463837
784,1106,1246300620
785,1108,250000000
786,1109,5827398790
787,1110,622500000
788,1111,435000000
789,1112,602294000
790,1114,5025769388
791,1115,2568893000
792,1117,4809591000
793,1118,561922500
794,1121,1017020833
795,1122,1238651865
796,1123,1163828377
797,1124,2790582857
798,1125,16095912956
799,1126,672165000
800,1127,700000000
801,1128,5187550000
802,1129,1110331766
803,1130,128269790
804,1131,583705600
805,1132,2679819248
806,1133,675571000
807,1135,391195500
808,1136,3295643213
809,1137,809016643
810,1138,1296000000
811,1140,941400000
812,1141,2965633445
813,1143,411714000
814,1146,3445450000
815,1148,1253599794
816,1149,2869919808
817,1150,674374000
818,1155,779134831
819,1157,1430028886
820,1161,763952764
821,1163,345809983
822,1164,3332586993
823,1165,1560000000
824,1166,187485650
825,1168,3541112832
826,1169,2537418877
827,1170,685150445
828,1171,1958400000
829,1172,2207208278
830,1174,4722068685
831,1176,3655806000
832,1177,4941461473
833,1180,2841444778
834,1181,416116000
835,1182,1045306548
836,1183,1390591630
837,1184,264940720
838,1185,3968995668
839,1186,2076296000
840,1188,10410159756
841,1190,1014700000
842,1191,17161599999
843,1193,2224010871
844,1194,4350727315
845,1195,1763497833
846,1198,1161377017
847,1199,2786226002
848,1200,718046005
849,1201,261453600
850,1203,907293285
851,1205,7865737149
852,1206,521520000
853,1208,5289607889
854,1210,1010188000
855,1211,793100000
856,1212,1665365500
857,1215,10912213140
858,1217,6979385753
859,1220,800000000
860,1221,939886821
861,1222,6524935021
862,1223,1308033580
863,1224,2587799895
864,1225,750706724
865,1227,184266105
866,1228,6248309405
867,1230,3539215356
868,1231,4000000000
869,1232,1802456000
870,1234,1200866184
871,1235,501936000
872,1236,252600000
873,1237,1000000000
874,1238,4048013000
875,1239,200000000
876,1240,300000000
877,1251,1525430000
878,1252,2400900000
879,1259,1008532000
880,1260,1000000000
881,1262,1125600000
882,1265,500060000
883,1266,2000000000
884,1269,320000000
885,1277,8430000000
886,1278,4498198676
887,1280,1048342290
888,1281,600000000
889,1282,2927084000
890,1288,30738823096
891,1293,2557311429
892,1296,1309770000
893,1298,232500000
894,1299,12044000001
895,1300,1000000000
896,1303,1000000000
897,1308,2584500000
898,1312,660000000
899,1313,6519255462
900,1314,1383334000
901,1315,300000000
902,1318,1245000000
903,1319,400000000
904,1322,616417000
905,1323,666666000
906,1329,200000000
907,1332,143765993
908,1333,5406306400
909,1335,415000000
910,1336,1034107260
911,1338,2910970720
912,1339,8726234000
913,1348,240000000
914,1350,196908600
915,1361,2067602000
916,1366,3077200000
917,1368,2176315000
918,1378,5885000000
919,1382,1442942000
920,1383,1463214725
921,1386,623560000
922,1387,21148132000
923,1388,416661000
924,1393,2075098399
925,1398,86794044550
926,1399,1032001246
927,1428,1031125700
928,1488,825000000
929,1555,2647840793
930,1600,827925000
931,1613,1200000000
932,1618,2871000000
933,1623,1630227800
934,1628,2880000000
935,1633,1019922736
936,1638,4908331000
937,1666,261960000
938,1668,6053564000
939,1682,438000000
