symbol,date,time,volume,daily_rng,last_price,change,change_pct,52wH,52wH_pct
3799.HK,6/9/2017,11:08am,4450000,4.50 - 4.57,4.54,0.07,+1.57%,-0.26,-5.42%
3800.HK,6/9/2017,11:09am,61949494,0.77 - 0.80,0.77,-0.03,-3.75%,-0.47,-37.90%
3808.HK,6/9/2017,11:09am,1485500,4.71 - 4.94,4.9,0.24,+5.15%,-1.87,-27.62%
3813.HK,6/9/2017,11:06am,1407000,1.48 - 1.51,1.5,0.01,+0.67%,-1.34,-47.18%
3816.HK,6/7/2017,3:03pm,220000,0.79 - 0.80,0.8,0.01,+1.27%,-0.29,-26.61%
3818.HK,6/9/2017,10:59am,7767000,1.39 - 1.43,1.4,0.04,+2.94%,-0.33,-19.08%
3822.HK,6/8/2017,3:59pm,988000,0.235 - 0.248,0.243,0.006,+2.532%,-0.242,-49.897%
3823.HK,6/9/2017,11:05am,31576000,0.133 - 0.135,0.134,0.0,+0.000%,-2.496,-94.905%
3828.HK,6/8/2017,3:59pm,393000,1.22 - 1.26,1.25,0.01,+0.81%,-0.13,-9.42%
3833.HK,6/9/2017,11:02am,82000,0.87 - 0.89,0.87,-0.02,-2.25%,-0.52,-37.41%
3836.HK,6/9/2017,11:09am,4243000,3.36 - 3.50,3.37,-0.07,-2.03%,-1.31,-27.99%
3838.HK,6/9/2017,11:08am,3295000,0.22 - 0.23,0.22,-0.0,-2.22%,-0.07,-25.42%
3839.HK,6/9/2017,11:06am,1100,2.01 - 2.02,2.02,0.0,+0.00%,-0.55,-21.40%
3866.HK,6/2/2017,2:13pm,7000,6.71 - 6.90,6.75,0.0,+0.00%,-0.96,-12.45%
3868.HK,3/29/2011,3:59pm,0,,2.018,0.0,+0.000%,-0.162,-7.431%
3869.HK,6/9/2017,11:07am,6800,12.90 - 12.94,12.92,0.02,+0.16%,-0.24,-1.82%
3882.HK,6/9/2017,11:03am,185000,1.76 - 1.80,1.78,-0.01,-0.56%,-1.06,-37.32%
3883.HK,6/9/2017,11:07am,6346290,2.37 - 2.48,2.41,-0.04,-1.63%,-0.09,-3.60%
3886.HK,6/9/2017,11:09am,908500,0.96 - 1.00,0.97,0.01,+1.04%,-0.45,-31.69%
3888.HK,6/9/2017,11:09am,7636400,21.35 - 22.05,21.7,0.3,+1.40%,-1.25,-5.45%
3889.HK,6/8/2017,3:58pm,2000,0.245 - 0.245,0.245,-0.01,-3.922%,-0.19,-43.678%
3893.HK,6/9/2017,11:03am,280000,0.10 - 0.10,0.1,-0.0,-0.99%,-0.13,-56.33%
3898.HK,6/9/2017,11:07am,374300,40.55 - 41.35,40.7,-0.35,-0.85%,-8.8,-17.78%
3899.HK,6/9/2017,11:08am,3210000,4.91 - 5.01,4.98,-0.07,-1.39%,-0.65,-11.55%
3900.HK,6/9/2017,11:09am,1899500,8.47 - 8.72,8.48,-0.15,-1.74%,-0.59,-6.50%
3903.HK,6/8/2017,3:30pm,406000,0.67 - 0.68,0.67,0.0,+0.00%,-0.34,-33.66%
3908.HK,6/9/2017,11:08am,1994800,10.88 - 11.12,11.1,0.28,+2.59%,-1.34,-10.77%
3918.HK,6/9/2017,11:09am,1600000,3.90 - 3.94,3.92,0.01,+0.26%,-2.22,-36.16%
3933.HK,6/9/2017,11:09am,1288000,5.21 - 5.40,5.22,-0.06,-1.14%,-0.32,-5.78%
3939.HK,6/9/2017,10:47am,952000,1.94 - 1.96,1.94,-0.01,-0.51%,-0.46,-19.17%
3948.HK,6/9/2017,10:35am,17000,6.48 - 6.52,6.5,-0.01,-0.15%,-1.7,-20.73%
3958.HK,6/9/2017,11:05am,388400,7.44 - 7.50,7.49,0.04,+0.54%,-1.1,-12.81%
3963.HK,6/9/2017,10:51am,9000,1.26 - 1.26,1.26,0.02,+1.61%,-0.64,-33.68%
3966.HK,6/9/2017,10:28am,2000,4.67 - 4.67,4.63,0.13,+2.89%,-1.72,-27.09%
3968.HK,6/9/2017,11:09am,8068619,22.75 - 23.20,23.05,0.2,+0.88%,-1.25,-5.14%
3969.HK,6/9/2017,11:09am,505000,5.91 - 5.96,5.96,0.06,+1.02%,-0.64,-9.70%
3983.HK,6/9/2017,11:05am,208000,1.95 - 1.98,1.96,-0.03,-1.51%,-0.9,-31.47%
3988.HK,6/9/2017,11:09am,139004751,3.85 - 3.88,3.86,-0.03,-0.77%,-0.22,-5.39%
3989.HK,6/9/2017,11:06am,1136000,0.215 - 0.221,0.218,0.003,+1.395%,-0.127,-36.812%
3993.HK,6/9/2017,11:09am,11739000,2.45 - 2.53,2.47,0.01,+0.41%,-0.71,-22.33%
3996.HK,6/9/2017,11:07am,16000,1.47 - 1.48,1.48,0.0,+0.00%,-0.11,-6.92%
3998.HK,6/9/2017,11:09am,1098000,0.56 - 0.57,0.57,0.0,+0.00%,-0.2,-25.97%
3999.HK,6/8/2017,2:33pm,399000,0.69 - 0.71,0.7,0.0,+0.00%,-0.15,-17.65%
4601.HK,4/27/2016,11:34am,40000,,1.92,0.0,+0.00%,,
4603.HK,,,2000,,,0.0,+0.00%,,
4604.HK,,,20000,,,0.0,+0.00%,,
4605.HK,,,0,,,0.0,+0.00%,,
4606.HK,,,0,,,0.0,+0%,,
4607.HK,,,30000,,,0.0,+0.00%,,
4608.HK,,,0,,,0.0,+0.00%,,
4609.HK,,,10000,,,0.0,+0.00%,,
4610.HK,,,0,,,0.0,+0.00%,,
6030.HK,6/9/2017,11:09am,1551500,16.34 - 16.58,16.36,-0.12,-0.73%,-2.8,-14.61%
6033.HK,6/9/2017,10:51am,86000,2.83 - 2.99,2.95,0.08,+2.79%,-1.89,-39.05%
6066.HK,6/9/2017,11:04am,463000,7.11 - 7.23,7.2,0.12,+1.69%,-0.4,-5.26%
6068.HK,6/9/2017,11:08am,680000,2.81 - 2.85,2.81,-0.01,-0.35%,-0.15,-5.07%
6099.HK,6/9/2017,11:08am,712200,12.12 - 12.30,12.26,0.17,+1.44%,-0.62,-4.81%
6108.HK,6/9/2017,10:42am,1091200,0.69 - 0.70,0.7,-0.01,-1.41%,-0.14,-16.67%
6116.HK,6/9/2017,11:02am,484800,8.99 - 9.13,9.04,-0.21,-2.27%,-1.84,-16.91%
6118.HK,6/9/2017,10:49am,25000,1.73 - 1.74,1.74,0.01,+0.58%,-0.06,-3.33%
6122.HK,6/9/2017,10:46am,12000,4.90 - 4.91,4.9,0.01,+0.20%,-0.85,-14.78%
6123.HK,6/9/2017,10:40am,288000,3.43 - 3.48,3.47,-0.01,-0.29%,-0.74,-17.58%
6128.HK,6/9/2017,11:09am,1996000,1.66 - 1.69,1.66,0.0,+0.00%,-0.04,-2.35%
6133.HK,6/9/2017,10:52am,204000,0.63 - 0.70,0.64,-0.02,-3.03%,-0.71,-52.59%
6136.HK,6/9/2017,11:06am,1835000,1.60 - 1.62,1.61,0.02,+1.13%,-0.69,-30.00%
6138.HK,6/9/2017,10:54am,70000,2.47 - 2.50,2.48,0.02,+0.81%,-0.32,-11.43%
6139.HK,6/9/2017,10:54am,135500,4.06 - 4.07,4.06,-0.01,-0.25%,-0.36,-8.14%
6161.HK,6/9/2017,11:06am,14000,1.85 - 1.88,1.85,-0.03,-1.60%,-0.59,-24.18%
6163.HK,6/9/2017,10:38am,104000,1.71 - 1.72,1.72,0.01,+0.58%,-0.33,-16.10%
6166.HK,6/9/2017,10:59am,201000,2.60 - 2.68,2.65,-0.01,-0.38%,-1.36,-33.92%
6168.HK,6/9/2017,11:09am,340000,0.87 - 0.88,0.88,0.01,+1.15%,-0.92,-51.11%
6169.HK,6/9/2017,11:09am,800000,2.71 - 2.78,2.73,-0.03,-1.09%,-0.23,-7.77%
6178.HK,6/9/2017,10:52am,18200,11.16 - 11.20,11.16,-0.06,-0.53%,-1.92,-14.68%
6183.HK,6/9/2017,11:06am,2155000,1.61 - 1.65,1.62,-0.03,-1.82%,-0.5,-23.76%
6188.HK,6/9/2017,10:31am,4500,2.38 - 2.38,2.38,-0.02,-0.83%,-0.77,-24.44%
6189.HK,6/9/2017,9:37am,500,5.28 - 5.28,5.19,0.05,+0.97%,-1.14,-18.01%
6196.HK,6/8/2017,3:28pm,44000,4.37 - 4.42,4.39,0.01,+0.23%,-1.81,-29.19%
6198.HK,6/9/2017,11:08am,1510000,4.45 - 4.50,4.48,-0.01,-0.22%,-0.52,-10.40%
6808.HK,6/9/2017,11:09am,2854500,7.12 - 7.31,7.16,-0.11,-1.51%,-1.72,-19.37%
6816.HK,6/8/2017,3:44pm,1054000,0.63 - 0.65,0.65,0.0,+0.00%,-0.55,-45.83%
6818.HK,6/9/2017,11:09am,8673187,3.62 - 3.65,3.62,-0.03,-0.82%,-0.44,-10.84%
6822.HK,6/8/2017,3:59pm,78000,1.23 - 1.25,1.25,0.01,+0.81%,-0.19,-13.19%
6823.HK,6/9/2017,11:09am,2153007,10.18 - 10.24,10.2,-0.08,-0.78%,-2.28,-18.27%
6826.HK,6/9/2017,11:09am,9900,42.00 - 42.30,42.2,0.0,+0.00%,-4.3,-9.25%
6828.HK,6/9/2017,11:08am,11288000,0.51 - 0.54,0.53,0.01,+1.92%,-0.17,-24.29%
6830.HK,6/9/2017,11:00am,438000,0.90 - 0.93,0.9,0.02,+2.04%,-0.18,-16.67%
6833.HK,6/8/2017,9:30am,80000,0.50 - 0.50,0.5,0.0,+0.00%,-0.16,-24.24%
6836.HK,6/9/2017,11:09am,2612000,1.14 - 1.16,1.15,0.01,+0.88%,-0.04,-3.36%
6837.HK,6/9/2017,11:09am,2018000,13.12 - 13.28,13.14,-0.08,-0.61%,-2.1,-13.78%
6838.HK,6/8/2017,2:36pm,6000,0.89 - 0.92,0.92,0.03,+3.37%,-0.22,-19.30%
6839.HK,6/9/2017,11:09am,339000,3.50 - 3.57,3.57,0.09,+2.59%,-1.28,-26.39%
6858.HK,6/9/2017,10:00am,1224500,7.68 - 7.85,7.83,0.18,+2.35%,-2.67,-25.43%
6863.HK,3/24/2017,11:59am,779390350,0.25 - 2.81,0.42,0.0,+0.00%,-2.81,-87.00%
6865.HK,6/9/2017,10:50am,72000,1.49 - 1.51,1.5,0.0,+0.00%,-0.69,-31.51%
6866.HK,6/9/2017,11:09am,512000,0.96 - 1.00,0.97,-0.03,-3.00%,-0.45,-31.69%
6868.HK,6/9/2017,10:56am,13000,2.40 - 2.40,2.4,0.0,+0.00%,-0.69,-22.33%
6869.HK,6/9/2017,11:05am,173000,15.60 - 15.78,15.7,0.02,+0.13%,-3.04,-16.22%
6878.HK,6/9/2017,10:59am,2030000,0.67 - 0.71,0.68,-0.04,-5.56%,-0.32,-32.00%
6880.HK,6/9/2017,9:59am,2000,1.79 - 1.79,1.79,0.0,+0.00%,-1.07,-37.41%
6881.HK,6/9/2017,11:09am,3987500,7.23 - 7.34,7.26,-0.06,-0.82%,-0.92,-11.25%
6882.HK,6/9/2017,10:14am,20000,1.36 - 1.36,1.36,0.0,+0.00%,-0.69,-33.66%
6886.HK,6/9/2017,11:04am,1210400,15.16 - 15.28,15.18,-0.1,-0.65%,-3.12,-17.05%
6888.HK,6/9/2017,10:50am,46000,0.68 - 0.69,0.68,-0.01,-1.45%,-0.38,-35.85%
6889.HK,6/9/2017,11:09am,412800,13.10 - 13.60,13.26,-0.36,-2.64%,-3.12,-19.05%
6893.HK,6/9/2017,10:44am,1624000,1.27 - 1.34,1.31,0.03,+2.34%,-1.72,-56.77%
6896.HK,6/9/2017,11:02am,515000,2.25 - 2.38,2.26,-0.09,-3.83%,-6.21,-73.32%
6898.HK,6/9/2017,11:06am,78000,1.30 - 1.31,1.3,-0.04,-2.99%,-0.7,-35.00%
6899.HK,6/9/2017,11:05am,350000,2.03 - 2.07,2.04,-0.03,-1.45%,-2.26,-52.56%
