symbol,date,time,volume,daily_rng,last_price,change,change_pct,52wH,52wH_pct,avg_vol
1363.HK,6/9/2017,4:08pm,5338650,1.28 - 1.34,1.3,-0.04,-2.99%,-1.29,-49.81%,9813860.0
1365.HK,6/9/2017,3:23pm,189000,4.18 - 4.26,4.21,-0.01,-0.24%,-0.29,-6.44%,200881.0
1366.HK,6/9/2017,3:59pm,13162000,0.76 - 0.78,0.77,0.0,+0.00%,-0.89,-53.61%,13777800.0
1367.HK,6/9/2017,3:59pm,2972000,2.89 - 3.01,2.92,-0.08,-2.67%,-1.18,-28.78%,1476340.0
1368.HK,6/9/2017,3:59pm,1825849,2.87 - 2.92,2.91,0.01,+0.34%,-1.49,-33.86%,3563370.0
1369.HK,6/9/2017,3:59pm,582000,0.73 - 0.75,0.75,0.0,+0.00%,-0.1,-11.76%,1137250.0
1370.HK,6/9/2017,3:59pm,844000,2.04 - 2.13,2.13,0.07,+3.40%,-1.0,-31.95%,816821.0
1371.HK,6/9/2017,3:59pm,15260000,0.172 - 0.178,0.176,0.0,+0.000%,-0.189,-51.781%,29940100.0
1372.HK,6/9/2017,3:43pm,273000,8.22 - 8.50,8.5,0.25,+3.03%,-1.15,-11.92%,112242.0
1373.HK,6/9/2017,3:59pm,406000,1.57 - 1.60,1.58,0.0,+0.00%,-0.27,-14.59%,729839.0
1375.HK,6/9/2017,4:08pm,2097000,3.79 - 3.86,3.8,-0.02,-0.52%,-1.18,-23.69%,3822430.0
1378.HK,3/21/2017,4:09pm,18121738,6.96 - 7.11,7.05,0.0,+0.00%,-1.43,-16.86%,1711640.0
1380.HK,6/9/2017,3:59pm,11415300,0.142 - 0.165,0.162,0.021,+14.894%,-0.738,-82.000%,2235870.0
1381.HK,6/9/2017,3:59pm,12594002,4.15 - 4.22,4.17,0.0,+0.00%,-0.71,-14.55%,3802480.0
1382.HK,6/9/2017,4:08pm,1645952,8.70 - 8.88,8.88,0.06,+0.68%,-2.64,-22.92%,1463080.0
1383.HK,6/9/2017,3:59pm,6360024,0.77 - 0.78,0.78,0.0,+0.00%,-0.08,-9.30%,25430700.0
1385.HK,6/9/2017,3:59pm,70000,5.35 - 5.50,5.46,0.03,+0.55%,-1.94,-26.22%,163227.0
1386.HK,6/9/2017,3:58pm,1925000,1.22 - 1.25,1.25,0.02,+1.63%,-0.87,-41.04%,1903700.0
1387.HK,6/9/2017,4:08pm,8031000,0.191 - 0.199,0.192,-0.006,-3.030%,-0.042,-17.949%,8470220.0
1388.HK,6/9/2017,3:18pm,20000,2.85 - 2.95,2.95,-0.05,-1.67%,-0.95,-24.36%,39642.0
1389.HK,6/9/2017,3:59pm,3836000,1.09 - 1.15,1.15,0.04,+3.60%,-3.04,-72.55%,8088060.0
1393.HK,6/9/2017,3:59pm,6207000,0.35 - 0.37,0.36,-0.01,-4.00%,-0.39,-52.00%,14479100.0
1395.HK,6/8/2017,2:45pm,85000,0.395 - 0.400,0.395,-0.005,-1.250%,-0.195,-33.051%,247090.0
1396.HK,6/9/2017,3:59pm,2566000,0.87 - 0.91,0.9,0.0,+0.00%,-0.1,-10.00%,2949870.0
1397.HK,6/8/2017,1:06pm,104000,0.84 - 0.86,0.86,0.0,+0.00%,-0.28,-24.56%,128075.0
1398.HK,6/9/2017,4:08pm,555334751,5.18 - 5.29,5.22,-0.08,-1.51%,-0.21,-3.87%,234884000.0
1400.HK,6/9/2017,3:40pm,2470000,0.19 - 0.20,0.2,0.0,+1.01%,-0.44,-68.75%,11419300.0
1415.HK,6/9/2017,4:00pm,171363400,2.15 - 2.35,2.29,0.16,+7.51%,-1.35,-37.09%,7718240.0
1418.HK,6/9/2017,3:05pm,142000,0.75 - 0.78,0.78,-0.01,-1.27%,-0.25,-24.27%,1687930.0
1419.HK,6/9/2017,3:59pm,5394000,2.30 - 2.75,2.73,0.39,+16.67%,-0.27,-9.00%,2375760.0
1420.HK,6/9/2017,3:59pm,3912000,0.43 - 0.44,0.43,-0.02,-4.44%,-0.63,-59.43%,3091820.0
1421.HK,6/9/2017,3:59pm,5490000,0.28 - 0.29,0.29,0.0,+0.00%,-2.7,-90.30%,5234250.0
1428.HK,6/9/2017,3:59pm,4274000,2.43 - 2.50,2.44,-0.06,-2.40%,-1.31,-34.93%,4550400.0
1430.HK,6/9/2017,3:54pm,944000,2.62 - 2.70,2.65,-0.03,-1.12%,-0.2,-7.02%,878567.0
1431.HK,6/9/2017,3:59pm,1082000,0.400 - 0.405,0.405,0.0,+0.000%,-0.335,-45.270%,1743100.0
1432.HK,6/9/2017,4:08pm,886000,1.66 - 1.69,1.68,-0.01,-0.59%,-0.97,-36.60%,3475580.0
1439.HK,6/9/2017,3:59pm,6255000,2.30 - 2.36,2.32,-0.02,-0.85%,-0.12,-4.92%,10406900.0
1443.HK,6/9/2017,3:59pm,4000000,1.05 - 1.13,1.05,-0.05,-4.55%,-0.6,-36.36%,744603.0
1446.HK,6/9/2017,3:58pm,1024000,0.79 - 0.80,0.8,0.01,+1.27%,-0.13,-13.98%,2548130.0
1447.HK,6/9/2017,3:59pm,68000,3.03 - 3.08,3.06,-0.01,-0.33%,-0.59,-16.16%,1403960.0
1448.HK,6/9/2017,3:59pm,1092278,4.95 - 5.00,4.96,-0.07,-1.39%,-0.85,-14.63%,2639290.0
1450.HK,6/9/2017,3:43pm,672000,0.400 - 0.420,0.415,0.005,+1.220%,-0.455,-52.299%,1317480.0
1452.HK,6/9/2017,3:42pm,65000,0.57 - 0.58,0.58,0.01,+1.75%,-0.61,-51.26%,797384.0
1456.HK,6/9/2017,3:59pm,187500,3.88 - 3.91,3.9,-0.02,-0.51%,-0.68,-14.85%,527134.0
1458.HK,6/9/2017,4:08pm,7497911,7.64 - 7.88,7.81,0.12,+1.56%,-2.11,-21.27%,9072160.0
1459.HK,6/9/2017,3:59pm,250000,1.27 - 1.28,1.27,-0.01,-0.78%,-1.26,-49.80%,557246.0
1460.HK,6/9/2017,3:31pm,1616000,0.210 - 0.214,0.212,0.002,+0.952%,-0.053,-20.000%,
1461.HK,6/9/2017,3:56pm,78000,1.70 - 1.72,1.71,0.0,+0.00%,-0.32,-15.76%,470060.0
1462.HK,6/9/2017,3:59pm,18420000,1.43 - 1.51,1.5,0.11,+7.91%,-0.7,-31.82%,7519610.0
1466.HK,6/9/2017,3:59pm,782000,3.95 - 4.10,4.1,0.07,+1.74%,-0.5,-10.87%,834482.0
1468.HK,6/9/2017,3:31pm,46880000,0.25 - 0.25,0.25,0.0,+0.00%,-0.02,-7.41%,4373580.0
1469.HK,6/9/2017,3:59pm,2036000,1.23 - 1.28,1.23,-0.01,-0.81%,-0.17,-12.14%,3934140.0
1470.HK,6/9/2017,3:51pm,472000,0.70 - 0.71,0.71,-0.01,-1.39%,-0.08,-10.13%,839663.0
1476.HK,6/9/2017,1:40pm,24000,3.08 - 3.09,3.08,-0.06,-1.91%,-1.45,-32.01%,33119.0
1478.HK,6/9/2017,3:59pm,4322000,6.22 - 6.42,6.22,-0.06,-0.96%,-0.84,-11.90%,5895950.0
1480.HK,6/9/2017,2:27pm,30000,1.62 - 1.63,1.63,0.0,+0.00%,-0.76,-31.80%,72179.0
1483.HK,6/9/2017,3:36pm,60000,1.96 - 2.02,2.01,-0.01,-0.50%,-0.65,-24.44%,286061.0
1486.HK,6/9/2017,3:28pm,44000,2.61 - 2.65,2.61,-0.04,-1.51%,-0.89,-25.43%,46627.0
1488.HK,6/9/2017,3:59pm,3512000,1.42 - 1.48,1.43,-0.06,-4.03%,-1.01,-41.39%,896716.0
1492.HK,6/9/2017,2:55pm,68000,0.83 - 0.84,0.83,0.02,+2.47%,-0.27,-24.55%,132448.0
1495.HK,6/9/2017,3:59pm,358000,0.87 - 0.89,0.88,-0.01,-1.12%,-0.35,-28.46%,666567.0
1496.HK,6/9/2017,3:54pm,44000,0.435 - 0.445,0.445,0.005,+1.136%,-0.215,-32.576%,278507.0
1498.HK,6/9/2017,3:38pm,377000,3.65 - 3.80,3.71,0.03,+0.82%,-0.68,-15.49%,366784.0
1499.HK,6/9/2017,2:11pm,4960000,0.19 - 0.19,0.19,-0.0,-1.55%,-0.33,-63.46%,13755700.0
1500.HK,6/9/2017,3:59pm,755000,0.69 - 0.71,0.71,-0.01,-1.39%,-0.31,-30.39%,320896.0
1508.HK,6/9/2017,4:08pm,6781000,1.74 - 1.76,1.75,-0.01,-0.57%,-0.23,-11.62%,8470970.0
1509.HK,6/9/2017,3:59pm,600000,3.85 - 3.92,3.87,-0.05,-1.28%,-2.24,-36.66%,964618.0
1513.HK,6/9/2017,4:08pm,344400,53.85 - 55.65,53.95,-0.95,-1.73%,-1.7,-3.05%,340300.0
1515.HK,6/9/2017,3:59pm,2450060,10.42 - 10.64,10.52,-0.02,-0.19%,-3.64,-25.71%,5448980.0
1518.HK,6/9/2017,3:19pm,26500,7.24 - 7.38,7.36,0.01,+0.14%,-0.59,-7.42%,37536.0
1520.HK,6/9/2017,3:59pm,9144000,1.12 - 1.19,1.16,-0.02,-1.69%,-0.49,-29.70%,11450200.0
1522.HK,6/9/2017,3:59pm,304000,1.37 - 1.40,1.39,-0.01,-0.71%,-0.41,-22.78%,1853310.0
1523.HK,6/9/2017,3:55pm,6216000,0.92 - 0.98,0.93,-0.04,-4.12%,-0.09,-8.82%,5120460.0
1526.HK,6/9/2017,3:59pm,174000,2.08 - 2.13,2.11,0.02,+0.96%,-0.34,-13.88%,1038540.0
1527.HK,6/9/2017,3:02pm,21000,7.30 - 7.40,7.3,-0.1,-1.35%,-1.68,-18.71%,42206.0
1528.HK,6/9/2017,3:59pm,3324800,8.49 - 8.55,8.5,0.01,+0.12%,-1.02,-10.71%,2364510.0
1530.HK,6/9/2017,4:08pm,3272500,10.80 - 11.20,10.92,-0.08,-0.73%,-0.42,-3.70%,7844780.0
1532.HK,6/9/2017,3:48pm,1167000,0.60 - 0.72,0.66,0.09,+15.79%,-0.74,-52.86%,1143820.0
1533.HK,6/5/2017,3:44pm,5000,5.28 - 5.28,5.25,-0.12,-2.23%,-0.19,-3.49%,2545.0
1536.HK,6/9/2017,3:02pm,70000,0.99 - 0.99,0.99,-0.01,-1.00%,-0.18,-15.38%,357881.0
1538.HK,6/9/2017,3:59pm,2866000,0.52 - 0.63,0.57,0.03,+5.56%,-0.78,-57.78%,529226.0
1539.HK,6/9/2017,3:58pm,744000,1.50 - 1.65,1.63,-0.01,-0.61%,-0.67,-29.13%,196805.0
1543.HK,6/9/2017,3:59pm,710000,1.36 - 1.43,1.42,-0.02,-1.39%,-0.38,-21.11%,354119.0
1547.HK,6/9/2017,3:58pm,456000,0.360 - 0.365,0.365,0.0,+0.000%,-0.195,-34.821%,1481070.0
1548.HK,6/9/2017,3:59pm,15146000,3.91 - 4.18,4.08,0.12,+3.03%,-1.67,-29.04%,8154900.0
1549.HK,6/9/2017,3:58pm,464000,0.225 - 0.229,0.228,-0.002,-0.870%,-0.172,-43.000%,1307160.0
